model,category,feature_set,lag_rule,n_features,n_lags,n_train,n_val,n_test,train_start,train_end,val_start,val_end,test_start,test_end,params,n_grid,scaler,seed,val_MSE,val_RMSE,val_MAE,val_R2,val_nRMSE,val_SMAPE,val_RMSPE,test_MSE,test_RMSE,test_MAE,test_R2,test_nRMSE,test_SMAPE,test_RMSPE,runtime_s,granularity,n_folds,stage1,gate_w,stage1_val_RMSE,gate_val_gain_pct,resid_val_r2,stage1_only_test_RMSE,cross_fit_folds,augment_stage1,segment_scheme,n_segments,gate_w_map,gate_w_min,gate_w_max,val_oof_RMSE
Naive,M01AB,A_lag1,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,{},0,none,42,15.112755555555555,3.887512772397739,2.996063492063492,-1.0889083838028975,0.7876292158258805,64.5043814997324,1.5568921901843953,17.410850473186123,4.172631121149594,3.291482649842272,-1.0779070449005217,0.784236153182909,66.44657397551136,2.203789023711625,0.0,daily,5,,,,,,,,,,,,,,
SeasonalNaive(s=7),M01AB,A_lag1,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,{},0,none,42,13.791767301587301,3.7137268749313406,2.996412698412698,-0.9063193497597275,0.7524193379021529,64.36533562242663,1.7661914785085975,16.361037223974765,4.0448778997609764,3.161135646687697,-0.9526165342660349,0.7602252372908443,64.38007169290704,2.59657683376552,0.0,daily,5,,,,,,,,,,,,,,
S1 [linear],M01AB,A_lag1,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,{},0,none,42,7.3605331683239426,2.713030255696376,2.175527732894381,-0.017384247899057126,0.5496732790122904,47.36724549852949,1.3729886170064014,8.566003196532822,2.926773513022971,2.263650267843024,-0.022314126247201305,0.5500801615212979,46.915710730110106,1.864103666903613,0.123,daily,5,linear,0.0,2.713030255696376,0.0,,2.926773513022971,,,,,,,,
AR-LRX [linear],M01AB,A_lag1,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 100, ""subsample"": 0.8}",132,none,42,7.28190397242516,2.698500319144906,2.1711738112885786,-0.006515999159053765,0.5467294423737871,47.322973941126605,1.350044996953268,8.787350852231569,2.964346614725,2.322216056000765,-0.048730977845403034,0.5571419371459382,47.969800876783154,1.8422656856732662,5.532,daily,5,linear,0.4,2.713030255696376,0.5356,-0.009651914259662053,2.926773513022971,5.0,,,,,,,
AR-LRX-g [linear],M01AB,A_lag1,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 100, ""subsample"": 0.8}",132,none,42,7.28190397242516,2.698500319144906,2.1711738112885786,-0.006515999159053765,0.5467294423737871,47.322973941126605,1.350044996953268,8.787350842980763,2.9643466131646554,2.322216054147558,-0.04873097674136084,0.5571419368526751,47.96980084284148,1.8422656868441933,5.589,daily,5,linear,0.39999999999999997,2.713030255696376,0.5356,-0.009651914259662053,2.926773513022971,5.0,False,global,1.0,"{""0"": 0.4}",0.4,0.4,2.706770491677012
AR-LRX-Aug [linear],M01AB,A_lag1,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",132,none,42,7.270359854194485,2.696360482983402,2.182741551461691,-0.004920353330798211,0.5462959010386053,47.509125612342174,1.37167028705755,8.477637783459441,2.9116383332171325,2.2748442361936325,-0.011768109863136367,0.5472355402633823,47.30426628240212,1.8723524637013425,5.386,daily,5,linear,0.7000000000000001,2.713030255696376,0.6144,0.010490971553500872,2.926773513022971,5.0,True,global,1.0,"{""0"": 0.7}",0.7,0.7,2.7061652859559273
XGBoost,M01AB,A_lag1,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,7.306749701534913,2.70310001693147,2.173739280337379,-0.009950214160300064,0.5476613637777218,47.43292570255277,1.3357027062905813,9.196900043833027,3.0326391219254933,2.3991443322058355,-0.09760884005969239,0.5699773523990783,49.38125516295228,1.8524969406197325,5.05,daily,5,,,,,,,,,,,,,,
"LR-XGB (residual, tanpa gerbang)",M01AB,A_lag1,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,7.357102683724141,2.7123979582141224,2.178872327904994,-0.01691008102626612,0.5495451724312259,47.51682175411712,1.3351727176684045,9.263438409345456,3.043589724214723,2.412122974952439,-0.10554989605045928,0.5720354922070313,49.59204456859843,1.852406401639836,5.628,daily,5,,,,,,,5.0,,,,,,,
Naive,M01AB,B_rich,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,{},0,none,42,15.112755555555555,3.887512772397739,2.996063492063492,-1.0889083838028975,0.7876292158258805,64.5043814997324,1.5568921901843953,17.410850473186123,4.172631121149594,3.291482649842272,-1.0779070449005217,0.784236153182909,66.44657397551136,2.203789023711625,0.0,daily,5,,,,,,,,,,,,,,
SeasonalNaive(s=7),M01AB,B_rich,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,{},0,none,42,13.791767301587301,3.7137268749313406,2.996412698412698,-0.9063193497597275,0.7524193379021529,64.36533562242663,1.7661914785085975,16.361037223974765,4.0448778997609764,3.161135646687697,-0.9526165342660349,0.7602252372908443,64.38007169290704,2.59657683376552,0.0,daily,5,,,,,,,,,,,,,,
